subject,relation,object
厦门大学,中文名,厦门大学
厦门大学,外文名,Xiamen University
厦门大学,简    称,厦大（XMU）
厦门大学,创办人,陈嘉庚
厦门大学,创办时间,1921年4月6日
厦门大学,类    别,公立大学
厦门大学,类    型,综合类
厦门大学,属    性,"211工程（1997年）
985工程（2001年）
111计划（2006年）
2011计划（2014年）
世界一流大学建设高校（2017年） 展开
属性
211工程（1997年）
985工程（2001年）
111计划（2006年）
2011计划（2014年）
世界一流大学建设高校（2017年）
研究生院
自主招生
国防生 收起"
厦门大学,主管部门,中华人民共和国教育部
厦门大学,现任领导,"党委书记：张彦
校长：张荣"
厦门大学,专职院士,院士22人（含双聘院士9人） [5]
厦门大学,硕士点,"学术学位授权一级学科52个
学术学位授权二级学科3个（不含一级学科覆盖）
专业学位授权类别24个"
厦门大学,博士点,"学术学位授权一级学科33个
学术学位授权二级学科3个（不含一级学科覆盖）
专业学位授权类别1个"
厦门大学,博士后,科研流动站31个
厦门大学,国家重点学科,"一级学科5个
二级学科9个（不含一级学科覆盖）"
厦门大学,院系设置,经济学院 管理学院 法学院 新闻传播学院 信息科学与技术学院等29个学院
厦门大学,校    训,自强不息 止于至善
厦门大学,校    歌,《厦门大学校歌》
厦门大学,校庆日,4月6日
厦门大学,地    址,"思明校区：福建省厦门市思明区思明南路422号（361005）
翔安校区：福建省厦门市翔安区翔安南路（361102）
漳州校区：福建漳州招商局经济技术开发区南滨大道300号（363105）
马来西亚分校：马来西亚雪兰莪州雪邦沙叻丁宜（43900）"
厦门大学,院校代码,10384
厦门大学,主要奖项,"国家自然科学二等奖4项（十二五）
国际科学技术合作奖1项（十二五）
2013年中国科学十大进展
第五、六、七届国家级高等教育教学成果一等奖3项
全国毕业生就业典型经验高校（2014年）"
厦门大学,知名校友,陈景润、余光中、张高丽、卢嘉锡、张存浩、谢希德
